link,headline,category,short_description
https://www.huffingtonpost.com/entry/israel-without-the-conflict_b_5474556.html,Israel Without the Conflict,WORLDPOST,"Isaac Zablocki, ContributorDirector of Film Programs, JCC Manhattan, ReelAbilities Film F...",2014-06-10
https://www.huffingtonpost.com/entry/first-nighter-gyllenhaal-wilson-illuminate-constellations_b_6466620.html,"First Nighter: Gyllenhaal, Wilson Illuminate Nick Payne's 'Constellations'",ARTS,"David Finkle, ContributorWriter, Drama Critic",2015-01-14
https://www.huffingtonpost.com/entry/happy-birthday-stephen-schwartz_b_6818458.html,"Happy Birthday, Stephen Schwartz!",EDUCATION,"Kelseigh Ingram, ContributorStudent, Indiana University",2015-03-09
https://www.huffingtonpost.com/entry/janet_krupin-_b_5597848.html,Janet Krupin Keeps Dance Music Trill: How Working Alongside Idina Menzel Inspired Integrity-Driven EDM,ARTS,"Annie Schugart, ContributorHarvard junior from Kansas City",2014-07-21
https://www.huffingtonpost.com/entry/side-show-stage-directions-and-henry-krieger_b_6243594.html,Side Show: Stage Directions and Henry Krieger,ARTS,"Barry Singer, ContributorWrites about the Arts, Literature & Winston Churchill. He ...",2014-12-03
https://www.huffingtonpost.com/entry/art-and-activism-collide_b_6965408.html,The Worlds of Art and Activism Collide,ARTS,"Alex Cacioppo, ContributorIndependent Observer",2015-03-30
https://www.huffingtonpost.com/entry/outbursts-of-genius-in-san-franciscos-romeo-and-juliet_b_7197510.html,Outbursts of Genius in San Francisco Ballet's Romeo and Juliet,ARTS,"Carla Escoda, ContributorDance, theatre and arts critic, based in San Francisco. Former...",2015-05-03
https://www.huffingtonpost.com/entry/4000-blocks_b_5232980.html,4000 Blocks,MEDIA,"Francis Levy, ContributorWriter",2014-04-30
https://www.huffingtonpost.com/entry/cindy-jacksons-stalled-ra_b_5775678.html,Cindy Jackson's Stalled Rapture,ARTS,"Shana Nys Dambrot, ContributorArt critic, curator, essayist based in Los Angeles.",2014-09-08
https://www.huffingtonpost.com/entry/post_9556_b_7632770.html,Recordings From Music Maker Relief Foundation (and a Free Album!),IMPACT,"Stephen D. Winick, ContributorFolklorist, Music Critic, Editor",2015-06-24
https://www.huffingtonpost.com/entry/aisle-view-swingers-with_b_7582262.html,Aisle View: Swingers With Qualms,ARTS,"Steven Suskin, ContributorDrama critic",2015-06-15
https://www.huffingtonpost.com/entry/stage-door-ute-lemper-sin_b_5769040.html,Stage Door: Ute Lemper Sings Love Songs of Pablo Neruda,CULTURE & ARTS,"Fern Siegel, ContributorDeputy Editor, MediaPost",2014-09-04
https://www.huffingtonpost.com/entry/running-in-tap-shoes-choreographer-janine-molinari-on-teaching-broadway-kids-and-other-adventures-in-dance_b_7019478.html,Running in Tap Shoes: Choreographer Janine Molinari on Teaching Broadway Kids and Other Adventures in Dance,ARTS,"Jaime Lubin, ContributorActress and writer",2015-04-09
https://www.huffingtonpost.com/entry/moving-side-show-to-broad_b_5687449.html,Moving Side Show to Broadway,ARTS,"Michael Kaiser, ContributorChairman, DeVos Institute of Arts Management",2014-08-18
https://www.huffingtonpost.com/entry/life-with-lyme_b_6207320.html,Life with Lyme,WELLNESS,"Grryo, Contributorgrr·yo [gree-oh, gree-yoh] noun : An international collective ...",2014-11-24
https://www.huffingtonpost.com/entry/why-we-all-need-working-parents_us_5bb2c62de4b0480ca65bcc8e,Why We All Need Working Parents,PARENTING,"Anne Weisberg, Contributor
Senior Vice President for Strategy, Families and Work Institute",2012-06-17
https://www.huffpost.com/entry/tesla-elon-musk-autopilot-self-driving-china_n_608377a1e4b02e74d21998b8,Watch Consumer Reports Trick A Tesla Into Driving Without A Driver,GREEN,Mary Papenfuss,2021-04-24
https://www.huffingtonpost.com/entry/obstacles-for-women-reach_b_5484743.html,Obstacles for Women Reaching the Top: Unconscious Images,IMPACT,"Caroline Turner, ContributorAuthor, workshop facilitator, speaker, consultant",2014-06-13
https://www.huffingtonpost.com/entry/hacking-the-win-win-win-b_b_7527604.html,Hacking the WIN-Win-Win Business Model,POLITICS,"Rajesh Setty, ContributorSerial entrepreneur",2015-06-07
https://www.huffingtonpost.com/entry/email-wire-transfer-scams_us_57076ce1e4b03a9e75d40a59,Cyber Fraudsters Reap Billions Through Email Wire-Transfer Scams,BUSINESS,"JIM FINKLE, Reuters",2016-04-08
https://www.huffingtonpost.com/entry/8-ways-entrepreneurs-can_b_7675542.html,8 Ways Entrepreneurs Can Lead With New Work Models,MONEY,"Marty Zwilling, ContributorVeteran Start-up Mentor; Executive",2015-06-26
https://www.huffingtonpost.com/entry/walmart-bulletproof-black-lives-matter_us_585aab22e4b0eb586484c12f,Walmart Ditches 'Bulletproof: Black Lives Matter' T-Shirt After Police Protest,BLACK VOICES,Mary Papenfuss,2016-12-21
https://www.huffingtonpost.com/entry/tesla-autopilot-second-crash_us_577d7ea6e4b01edea78c76b7,Tesla Isn't Sure Autopilot Was Enabled During Second Crash,TECH,Michael McLaughlin,2016-07-07
https://www.huffingtonpost.com/entry/t-mobile-agrees-to-acquire-sprint-for-26-billion_us_5ae5fa33e4b02baed1bb3a43,T-Mobile Agrees To Acquire Sprint For $26 Billion,MONEY,"Greg Roumeliotis, Reuters",2018-04-29
https://www.huffingtonpost.com/entry/marijuana-vending-machines_us_5bb2f741e4b0480ca65fbbe8,"Marijuana Vending Machines, Stoner Fantasy, May Become Industry Norm",PARENTING,Eleazar David Melendez,2013-06-09
https://www.huffingtonpost.com/entry/post_8071_b_5618497.html,Millennials: The WHY Behind Favorite Brands,EDUCATION,"Melanie Curtin, ContributorWriter/speaker on sex & dating and eCommerce. Creator of viral...",2014-07-25
https://www.huffingtonpost.com/entry/chipotle-plans-to-hire-4000-workers-on-sept-9_us_55db59dbe4b08cd3359cbbc7,"Chipotle Plans To Hire 4,000 Workers On A Single Day In September",POLITICS,Emily Peck,2015-08-24
https://www.huffingtonpost.com/entry/women-in-business-megan-driscoll-founder-and-president-pharmalogics_b_6918164.html,"Women in Business: Megan Driscoll, Founder and President, PharmaLogics",WOMEN,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-03-22
https://www.huffingtonpost.com/entry/minimum-wage-protests_us_5710adb1e4b0060ccda2e9d2,Thousands Of Protesters March For $15 Hourly Wages Across U.S.,BUSINESS,"ALEX DOBUZINSKIS, Reuters",2016-04-15
https://www.huffingtonpost.com/entry/trump-needs-to-stop-pretending-hes-king-midas_us_57ed0b99e4b024a52d2cfa02,Trump Needs To Stop Pretending He's King Midas,BLACK VOICES,Jenna Amatulli,2016-09-29
https://www.huffingtonpost.com/entry/how-a-humans-of-new-york-_b_6534854.html,How a Humans of New York Fundraiser Taught Us About Education,COLLEGE,"Rainesford Alexandra, ContributorWriter, college student, dancer",2015-01-26
https://www.huffingtonpost.com/entry/texas-schools-illegal-policies-federal-law_us_5a578f58e4b018a4f8b6ac74,Texas Schools Illegally Excluded Students With Disabilities: Federal Officials,EDUCATION,Sebastian Murdock,2018-01-11
https://www.huffingtonpost.com/entry/devos-should-stop-stalling-enforce-obama-rules-to_us_5962bf80e4b08f5c97d06ae4,"DeVos Should Stop Stalling, Enforce Obama Rules To Protect Students From Fraud",DIVORCE,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-07-09
https://www.huffingtonpost.com/entry/the-character-of-my-boat_b_6490404.html,The Character of My Boat,GOOD NEWS,"Write for the Future, ContributorCollege Admissions Essay Program",2015-01-16
https://www.huffingtonpost.com/entry/seven-more-reasons-to-opt_b_7037268.html,Seven More Reasons to Opt-Out of High-Stakes Testing,EDUCATION,"Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2015-04-10
https://www.huffingtonpost.com/entry/peter-cunninghams-education-post-chaperoned-by-broad_us_59e54e8de4b08c75593ce5fd,Peter Cunningham’s Education Post Chaperoned By Broad Foundation,EDUCATION,"Mercedes Schneider, ContributorPublic school teacher, education activist, PhD",2017-10-17
https://www.huffingtonpost.com/entry/bystander-intervention-an_b_5999850.html,Bystander Intervention and Double Standards of Sexual Assault During Hazing,COLLEGE,"Mike Domitrz, ContributorDateSafeProject.org Blogger, Speaker, and Author, including ""C...",2014-10-23
https://www.huffingtonpost.com/entry/for-effective-education-p_b_7676448.html,"For Effective Education Policy, Listen to Effective Teachers",EDUCATION,"Teach Plus, ContributorTeacher Leadership Organization",2015-06-27
https://www.huffingtonpost.com/entry/why-america-demonizes-its-teachers_b_7463084.html,Why America Demonizes Its Teachers,EDUCATION,"Frank Breslin, ContributorRetired high-school teacher",2015-05-29
https://www.huffingtonpost.com/entry/will-the-new-jersey-lotto_b_7780160.html,Will the New Jersey Lotto Help Student Loan Borrowers?,EDUCATION,"Stephen Dash, ContributorStudent loan expert, CEO of Credible",2015-07-12
https://www.huffingtonpost.com/entry/encouraging-the-discourag_b_7221896.html,Encouraging the Discouraged Reader,PARENTING,"Rob Furman, ContributorElementary Principal, Author, National Presenter",2015-05-12
https://www.huffingtonpost.com/entry/inland-empire-early-colle_b_6559234.html,Inland Empire Early College Paves Pathway to Postsecondary,EDUCATION,"GenDIY, ContributorGenDIY",2015-01-30
https://www.huffingtonpost.com/entry/states-should-be-giving-y_b_6101482.html,States Should Be Giving You Useful Data About Your Children's Schools,EDUCATION,"Aimee Rogstad Guidera, ContributorPresident and CEO, Data Quality Campaign",2014-11-04
https://www.huffingtonpost.com/entry/doctor-lawyer-camel-ranch_b_6803190.html,"Doctor, Lawyer, Camel Rancher: Helping Your Kids Discover Careers They Love",PARENTS,"Smart Parents, ContributorA blog series for parents, by parents who are navigating educa...",2015-03-05
https://www.huffingtonpost.com/entry/school-choice-chicago_b_6576814.html,Choice Is a Privilege,IMPACT,"Michael Beyer, ContributorNational Board Certified teacher, Ed.D. in urban education lea...",2015-01-30
